Order_ID,Product,Category,Region,Quantity,Unit_Price,Total_Price,Discount_Pct,Payment_Method,Order_Status,Customer_Age,Order_Date,Rating
ORD00026,Speaker,Audio,Central,12,770.73,9248.76,10.0,Bank Transfer,Delivered,67.0,2023-01-07,2.2
ORD00027,Webcam,Accessories,Central,3,1279.95,,0.0,Credit Card,Pending,,2023-01-07,2.1
ORD00028,Mouse,Accessories,West,11,1078.25,11860.75,10.0,Credit Card,Delivered,63.0,2023-01-07,3.3
ORD00029,Keyboard,Accessories,East,12,679.37,8152.44,15.0,Credit Card,Pending,32.0,2023-01-08,4.2
ORD00030,Speaker,Audio,West,11,150.79,1658.69,15.0,Credit Card,Delivered,62.0,2023-01-08,4.9
ORD00031,Phone,Electronics,North,1,783.49,783.49,5.0,Cash,Delivered,19.0,2023-01-08,3.9
ORD00032,Speaker,Audio,Central,19,237.11,4505.09,10.0,Cash,Cancelled,68.0,2023-01-08,1.8
ORD00033,Laptop,Electronics,North,13,1354.36,17606.68,15.0,Cash,Pending,69.0,2023-01-09,3.3
ORD00034,Mouse,Accessories,East,15,1401.27,21019.05,20.0,Credit Card,Delivered,58.0,2023-01-09,2.7
ORD00035,Speaker,Audio,North,14,435.47,6096.58,15.0,Bank Transfer,Delivered,58.0,2023-01-09,3.4
ORD00036,Monitor,Accessories,Central,10,1435.52,14355.2,15.0,PayPal,Delivered,20.0,2023-01-09,4.6
ORD00037,Monitor,Accessories,West,18,465.26,8374.68,10.0,Credit Card,Delivered,23.0,2023-01-10,2.8
ORD00038,Headphones,Audio,North,19,1144.43,21744.17,15.0,,Delivered,42.0,2023-01-10,1.7
ORD00039,Tablet,Electronics,East,9,409.4,3684.6,15.0,Credit Card,Pending,64.0,2023-01-10,4.4
ORD00040,Mouse,Accessories,East,10,663.1,6631.0,0.0,,Delivered,61.0,2023-01-10,1.2
ORD00041,Laptop,Electronics,West,17,460.32,7825.44,0.0,Credit Card,Pending,57.0,2023-01-11,3.6
ORD00042,Mouse,Accessories,West,1,1125.34,1125.34,0.0,Credit Card,Pending,56.0,2023-01-11,4.5
ORD00043,Phone,Electronics,Central,14,55.76,780.64,5.0,Cash,Cancelled,27.0,2023-01-11,4.0
ORD00044,Tablet,Electronics,Central,3,1053.88,3161.64,15.0,Bank Transfer,Delivered,29.0,2023-01-11,4.0
ORD00045,Phone,Electronics,South,14,273.74,3832.36,20.0,PayPal,Delivered,69.0,2023-01-12,2.0
ORD00046,Speaker,Audio,East,10,978.77,9787.7,5.0,Bank Transfer,Cancelled,38.0,2023-01-12,4.8
ORD00047,Phone,Electronics,South,10,1026.52,10265.2,5.0,Bank Transfer,Cancelled,50.0,2023-01-12,3.9
ORD00048,Monitor,Accessories,North,13,1159.14,15068.82,,Cash,Cancelled,47.0,2023-01-12,2.1
ORD00049,Charger,Accessories,Central,2,708.42,1416.84,20.0,Bank Transfer,Delivered,42.0,2023-01-13,2.8
ORD00050,Charger,Accessories,Central,5,67.21,336.05,0.0,,Delivered,57.0,2023-01-13,1.9
ORD00051,Speaker,Audio,North,18,525.52,9459.36,20.0,Bank Transfer,Cancelled,150.0,2023-01-13,5.0
ORD00052,Tablet,Electronics,South,2,322.11,,10.0,Credit Card,Pending,61.0,2023-01-13,1.6
ORD00053,Speaker,Audio,North,4,1379.51,5518.04,5.0,Credit Card,Cancelled,52.0,2023-01-14,2.3
ORD00054,Charger,Accessories,West,19,1357.64,25795.16,15.0,Cash,Delivered,24.0,2023-01-14,2.1
ORD00055,Laptop,Electronics,Central,10,934.78,9347.8,20.0,Bank Transfer,Pending,31.0,2023-01-14,3.2
ORD00056,Webcam,Accessories,East,5,1172.18,5860.9,0.0,,Delivered,24.0,2023-01-14,5.0
ORD00057,Monitor,Accessories,South,14,328.1,4593.4,10.0,PayPal,Delivered,31.0,2023-01-15,4.1
ORD00058,Tablet,Electronics,West,14,280.4,3925.6,5.0,Cash,Pending,20.0,2023-01-15,
ORD00059,Laptop,Electronics,West,13,375.44,4880.72,0.0,PayPal,Pending,43.0,2023-01-15,1.1
ORD00060,Headphones,Audio,West,7,12.57,87.99,,Bank Transfer,Delivered,52.0,2023-01-15,1.2
ORD00061,Laptop,Electronics,Central,8,1197.51,9580.08,20.0,Cash,Cancelled,60.0,2023-01-16,4.5
ORD00062,Tablet,Electronics,Central,18,453.9,8170.2,,Cash,Delivered,26.0,2023-01-16,1.6
ORD00063,Monitor,Accessories,Central,7,756.39,5294.73,15.0,PayPal,Delivered,50.0,2023-01-16,4.7
ORD00064,Tablet,Electronics,West,14,251.16,3516.24,5.0,Credit Card,Delivered,47.0,2023-01-16,3.5
ORD00065,Charger,Accessories,East,11,1440.74,,20.0,Bank Transfer,Delivered,49.0,2023-01-17,1.8
ORD00066,Monitor,Accessories,Central,18,591.57,10648.26,15.0,Credit Card,Cancelled,40.0,2023-01-17,
ORD00067,Mouse,Accessories,East,15,602.58,9038.7,10.0,PayPal,Delivered,36.0,2023-01-17,
ORD00068,Mouse,Accessories,West,11,874.98,9624.78,5.0,Credit Card,Delivered,40.0,2023-01-17,1.2
ORD00069,Speaker,Audio,East,8,580.7,4645.6,15.0,Cash,Cancelled,59.0,2023-01-18,1.1
ORD00070,Keyboard,Accessories,West,17,1086.15,18464.55,5.0,PayPal,Delivered,46.0,2023-01-18,2.4
ORD00071,Phone,Electronics,North,16,1242.98,19887.68,0.0,Bank Transfer,Delivered,,2023-01-18,2.0
ORD00072,Keyboard,Accessories,East,7,33.61,235.27,10.0,Credit Card,Cancelled,,2023-01-18,2.1
ORD00073,Speaker,Audio,South,19,1384.33,26302.27,5.0,Bank Transfer,Delivered,26.0,2023-01-19,3.1
ORD00074,Webcam,Accessories,West,13,1475.27,19178.51,10.0,Cash,Cancelled,56.0,2023-01-19,2.3
ORD00075,Headphones,Audio,North,13,730.17,9492.21,5.0,,Delivered,60.0,2023-01-19,3.7
ORD00076,Mouse,Accessories,Central,13,254.44,3307.72,20.0,Credit Card,Cancelled,37.0,2023-01-19,4.6
ORD00077,Webcam,Accessories,Central,5,1067.49,5337.45,15.0,Cash,Cancelled,21.0,2023-01-20,1.6
ORD00078,Mouse,Accessories,South,15,548.09,8221.35,15.0,Cash,Delivered,40.0,2023-01-20,
ORD00079,Laptop,Electronics,West,8,775.27,6202.16,,Bank Transfer,Cancelled,,2023-01-20,3.5
ORD00080,Monitor,Accessories,North,13,786.66,10226.58,20.0,Credit Card,Pending,64.0,2023-01-20,3.6
ORD00081,Webcam,Accessories,North,18,1259.06,22663.08,5.0,Cash,Delivered,31.0,2023-01-21,4.1
ORD00082,Speaker,Audio,East,4,180.37,,20.0,PayPal,Pending,,2023-01-21,2.3
ORD00083,Mouse,Accessories,South,13,476.16,6190.08,15.0,Credit Card,Delivered,18.0,2023-01-21,4.8
ORD00084,Webcam,Accessories,East,12,726.16,8713.92,15.0,PayPal,Delivered,29.0,2023-01-21,1.8
ORD00085,Webcam,Accessories,East,13,611.24,7946.12,5.0,Cash,Delivered,41.0,2023-01-22,1.4
ORD00086,Charger,Accessories,Central,7,351.26,2458.82,5.0,Cash,Pending,37.0,2023-01-22,2.7
ORD00087,Charger,Accessories,East,14,1473.89,20634.46,0.0,PayPal,Cancelled,25.0,2023-01-22,4.0
ORD00088,Laptop,Electronics,South,19,1057.78,20097.82,20.0,Bank Transfer,Delivered,28.0,2023-01-22,1.4
ORD00089,Tablet,Electronics,West,5,1349.87,6749.35,5.0,Bank Transfer,Cancelled,39.0,2023-01-23,1.6
ORD00090,Monitor,Accessories,South,8,873.67,6989.36,5.0,Credit Card,Delivered,56.0,2023-01-23,3.4
ORD00091,Keyboard,Accessories,West,7,364.36,2550.52,20.0,Credit Card,Delivered,33.0,2023-01-23,4.4
ORD00092,Laptop,Electronics,South,9,953.48,8581.32,20.0,PayPal,Pending,22.0,2023-01-23,4.2
ORD00093,Charger,Accessories,South,11,1086.29,11949.19,5.0,Credit Card,Delivered,54.0,2023-01-24,2.3
ORD00094,Laptop,Electronics,Central,7,959.98,6719.86,15.0,,Pending,33.0,2023-01-24,3.5
ORD00095,Speaker,Audio,East,17,1127.05,19159.85,10.0,Cash,Pending,59.0,2023-01-24,3.9
ORD00096,Laptop,Electronics,Central,10,51.27,512.7,10.0,Bank Transfer,Cancelled,26.0,2023-01-24,4.3
ORD00097,Charger,Accessories,East,2,1381.56,2763.12,5.0,PayPal,Delivered,55.0,2023-01-25,4.9
ORD00098,Keyboard,Accessories,Central,3,55.35,166.05,0.0,Credit Card,Delivered,20.0,2023-01-25,2.5
ORD00099,Phone,Electronics,West,4,399.56,1598.24,20.0,Cash,Pending,68.0,2023-01-25,1.1
ORD00100,Laptop,Electronics,South,-5,433.8,3904.2,0.0,PayPal,Cancelled,45.0,2023-01-25,3.4
ORD00101,Webcam,Accessories,South,10,1010.44,10104.4,15.0,Bank Transfer,Cancelled,44.0,2023-01-26,4.5
ORD00102,Speaker,Audio,West,6,513.52,3081.12,20.0,Credit Card,Delivered,61.0,2023-01-26,
ORD00103,Tablet,Electronics,Central,13,668.86,8695.18,20.0,Cash,Delivered,69.0,2023-01-26,3.2
ORD00104,Webcam,Accessories,North,12,949.01,11388.12,10.0,Credit Card,Delivered,25.0,2023-01-26,2.9
ORD00105,Headphones,Audio,Central,18,1331.42,23965.56,20.0,Cash,Cancelled,,2023-01-27,2.7
ORD00106,Phone,Electronics,West,8,150.39,,15.0,Cash,Delivered,32.0,2023-01-27,2.1
ORD00107,Keyboard,Accessories,South,12,1063.02,12756.24,10.0,Credit Card,Cancelled,59.0,2023-01-27,
ORD00108,Tablet,Electronics,Central,11,229.91,,0.0,Credit Card,Delivered,29.0,2023-01-27,1.6
ORD00109,Headphones,Audio,West,8,993.97,7951.76,20.0,Credit Card,Pending,37.0,2023-01-28,4.0
ORD00110,Charger,Accessories,South,4,405.0,1620.0,15.0,Bank Transfer,Delivered,32.0,2023-01-28,2.2
ORD00111,Tablet,Electronics,North,6,655.6,3933.6,,PayPal,Delivered,42.0,2023-01-28,3.3
ORD00112,Tablet,Electronics,East,11,210.74,2318.14,5.0,Cash,Delivered,19.0,2023-01-28,1.4
ORD00113,Webcam,Accessories,Central,11,663.2,7295.2,15.0,,Pending,32.0,2023-01-29,2.4
ORD00114,Tablet,Electronics,West,13,1238.26,16097.38,10.0,PayPal,Pending,,2023-01-29,4.5
ORD00115,Monitor,Accessories,West,11,895.89,9854.79,15.0,PayPal,Pending,38.0,2023-01-29,3.2
ORD00116,Tablet,Electronics,North,4,1499.99,5999.96,5.0,Credit Card,Cancelled,62.0,2023-01-29,3.6
ORD00117,Headphones,Audio,East,5,43.87,219.35,20.0,Credit Card,Delivered,44.0,2023-01-30,3.5
ORD00118,Phone,Electronics,Central,7,579.73,4058.11,20.0,Cash,Delivered,55.0,2023-01-30,1.9
ORD00119,Headphones,Audio,West,17,423.2,7194.4,20.0,Cash,Cancelled,64.0,2023-01-30,3.5
ORD00120,Monitor,Accessories,North,13,114.53,1488.89,0.0,Credit Card,Cancelled,19.0,2023-01-30,3.7
ORD00121,Headphones,Audio,West,6,973.91,5843.46,10.0,Cash,Delivered,63.0,2023-01-31,2.9
ORD00122,Webcam,Accessories,North,5,1457.4,7287.0,10.0,Bank Transfer,Delivered,46.0,2023-01-31,2.2
ORD00123,Keyboard,Accessories,North,19,1182.13,22460.47,5.0,Cash,Delivered,23.0,2023-01-31,4.3
ORD00124,Keyboard,Accessories,South,4,1284.75,5139.0,10.0,Bank Transfer,Delivered,56.0,2023-01-31,2.6
ORD00125,Speaker,Audio,Central,5,1451.54,7257.7,20.0,Credit Card,Delivered,27.0,2023-02-01,4.7
ORD00126,Speaker,Audio,West,4,932.69,3730.76,5.0,,Delivered,31.0,2023-02-01,3.0
ORD00127,Tablet,Electronics,Central,17,1457.87,24783.79,15.0,PayPal,Delivered,37.0,2023-02-01,1.6
ORD00128,Webcam,Accessories,East,2,975.36,1950.72,0.0,Bank Transfer,Delivered,26.0,2023-02-01,1.1
ORD00129,Speaker,Audio,Central,5,318.76,1593.8,20.0,Bank Transfer,Delivered,46.0,2023-02-02,4.0
ORD00130,Mouse,Accessories,Central,8,823.71,6589.68,15.0,Credit Card,Delivered,54.0,2023-02-02,2.8
ORD00131,Mouse,Accessories,West,7,721.85,5052.95,10.0,Credit Card,Delivered,61.0,2023-02-02,3.0
ORD00132,Phone,Electronics,South,15,782.58,11738.7,5.0,Cash,Delivered,64.0,2023-02-02,1.8
ORD00133,Mouse,Accessories,Central,3,1473.32,4419.96,,Cash,Delivered,36.0,2023-02-03,2.6
ORD00134,Laptop,Electronics,Central,3,1226.63,3679.89,10.0,Cash,Delivered,47.0,2023-02-03,2.8
ORD00135,Tablet,Electronics,Central,15,235.27,3529.05,5.0,Cash,Pending,30.0,2023-02-03,3.9
ORD00136,Webcam,Accessories,East,2,98.64,197.28,10.0,Bank Transfer,Delivered,57.0,2023-02-03,2.7
ORD00137,Laptop,Electronics,West,19,1254.43,23834.17,10.0,Bank Transfer,Delivered,45.0,2023-02-04,3.4
ORD00138,Headphones,Audio,Central,7,1048.82,7341.74,20.0,Cash,Delivered,,2023-02-04,3.4
ORD00139,Webcam,Accessories,Central,18,1307.52,23535.36,20.0,PayPal,Delivered,52.0,2023-02-04,2.4
ORD00140,Tablet,Electronics,North,18,686.79,12362.22,0.0,PayPal,Cancelled,59.0,2023-02-04,3.3
ORD00141,Charger,Accessories,North,16,619.67,9914.72,20.0,,Pending,41.0,2023-02-05,2.4
ORD00142,Headphones,Audio,South,17,21.35,362.95,0.0,Cash,Cancelled,63.0,2023-02-05,1.0
ORD00143,Keyboard,Accessories,West,10,844.13,8441.3,10.0,Credit Card,Delivered,69.0,2023-02-05,4.0
ORD00144,Tablet,Electronics,North,1,248.4,248.4,15.0,Bank Transfer,Delivered,,2023-02-05,1.8
ORD00145,Mouse,Accessories,Central,13,798.02,10374.26,5.0,Credit Card,Delivered,,2023-02-06,3.8
ORD00146,Laptop,Electronics,South,11,835.91,9195.01,20.0,Bank Transfer,Cancelled,18.0,2023-02-06,3.5
ORD00147,Phone,Electronics,North,18,451.91,8134.38,5.0,PayPal,Delivered,44.0,2023-02-06,1.6
ORD00148,Webcam,Accessories,South,15,536.94,8054.1,15.0,Credit Card,Cancelled,37.0,2023-02-06,4.0
ORD00149,Laptop,Electronics,West,10,853.32,8533.2,5.0,Bank Transfer,Pending,68.0,2023-02-07,2.2
ORD00150,Mouse,Accessories,North,10,1065.87,10658.7,0.0,Bank Transfer,Delivered,18.0,2023-02-07,3.2
ORD00151,Monitor,Accessories,West,3,1168.23,3504.69,,Bank Transfer,Cancelled,20.0,2023-02-07,4.9
ORD00152,Mouse,Accessories,Central,14,1468.11,20553.54,15.0,Bank Transfer,Delivered,53.0,2023-02-07,3.3
ORD00153,Speaker,Audio,South,8,661.58,5292.64,15.0,Credit Card,Pending,39.0,2023-02-08,2.1
ORD00154,Charger,Accessories,Central,10,691.53,6915.3,0.0,Cash,Delivered,58.0,2023-02-08,3.7
ORD00155,Monitor,Accessories,West,13,138.49,1800.37,15.0,Bank Transfer,Pending,25.0,2023-02-08,3.4
ORD00156,Phone,Electronics,West,11,534.12,,20.0,Bank Transfer,Cancelled,40.0,2023-02-08,2.8
ORD00157,Mouse,Accessories,North,16,713.91,11422.56,5.0,PayPal,Cancelled,55.0,2023-02-09,2.5
ORD00158,Laptop,Electronics,Central,8,1230.06,9840.48,15.0,,Delivered,47.0,2023-02-09,3.9
ORD00159,Laptop,Electronics,North,15,118.83,,10.0,PayPal,Pending,49.0,2023-02-09,3.8
ORD00160,Webcam,Accessories,East,1,237.86,237.86,15.0,Cash,Delivered,26.0,2023-02-09,4.7
ORD00161,Webcam,Accessories,East,13,76.84,998.92,5.0,PayPal,Delivered,20.0,2023-02-10,4.6
ORD00162,Laptop,Electronics,West,2,690.11,1380.22,5.0,Cash,Pending,,2023-02-10,
ORD00163,Webcam,Accessories,South,19,291.85,5545.15,10.0,Cash,Cancelled,31.0,2023-02-10,4.8
ORD00164,Webcam,Accessories,North,7,1322.29,9256.03,15.0,Credit Card,Cancelled,68.0,2023-02-10,4.9
ORD00165,Keyboard,Accessories,West,5,1045.48,5227.4,10.0,Credit Card,Delivered,37.0,2023-02-11,3.8
ORD00166,Laptop,Electronics,West,17,1436.0,24412.0,5.0,,Delivered,29.0,2023-02-11,4.7
ORD00167,Speaker,Audio,West,14,1204.31,16860.34,10.0,Cash,Delivered,31.0,2023-02-11,4.0
ORD00168,Speaker,Audio,South,7,592.87,4150.09,0.0,PayPal,Delivered,45.0,2023-02-11,4.3
ORD00169,Charger,Accessories,East,12,47.66,571.92,15.0,Cash,Delivered,61.0,2023-02-12,1.0
ORD00170,Tablet,Electronics,West,17,632.69,10755.73,5.0,Bank Transfer,Delivered,53.0,2023-02-12,3.2
ORD00171,Laptop,Electronics,North,9,508.21,4573.89,10.0,Cash,Delivered,25.0,2023-02-12,3.6
ORD00172,Speaker,Audio,South,17,801.55,,0.0,PayPal,Pending,54.0,2023-02-12,2.8
ORD00173,Phone,Electronics,Central,15,693.82,10407.3,,Bank Transfer,Cancelled,50.0,2023-02-13,2.5
ORD00174,Charger,Accessories,East,11,696.35,7659.85,15.0,Cash,Delivered,59.0,2023-02-13,3.7
ORD00175,Charger,Accessories,Central,6,509.41,3056.46,20.0,Credit Card,Delivered,46.0,2023-02-13,4.4
ORD00176,Webcam,Accessories,South,8,1163.18,9305.44,15.0,Credit Card,Cancelled,65.0,2023-02-13,3.6
ORD00177,Webcam,Accessories,West,12,964.98,11579.76,5.0,PayPal,Delivered,67.0,2023-02-14,4.7
ORD00178,Mouse,Accessories,West,6,600.77,,5.0,PayPal,Delivered,,2023-02-14,2.5
ORD00179,Tablet,Electronics,Central,6,362.74,2176.44,10.0,PayPal,Pending,24.0,2023-02-14,3.5
ORD00180,Tablet,Electronics,North,16,1268.88,20302.08,5.0,Bank Transfer,Cancelled,60.0,2023-02-14,2.7
ORD00181,Monitor,Accessories,East,3,245.12,735.36,,Credit Card,Delivered,38.0,2023-02-15,4.9
ORD00182,Laptop,Electronics,North,11,1490.7,16397.7,5.0,Bank Transfer,Pending,18.0,2023-02-15,2.0
ORD00183,Headphones,Audio,East,18,1492.9,26872.2,20.0,PayPal,Delivered,37.0,2023-02-15,2.6
ORD00184,Tablet,Electronics,West,2,525.64,1051.28,10.0,Cash,Delivered,40.0,2023-02-15,3.3
ORD00185,Tablet,Electronics,North,9,218.42,1965.78,15.0,Bank Transfer,Cancelled,22.0,2023-02-16,4.6
ORD00186,Mouse,Accessories,East,16,391.63,6266.08,20.0,Credit Card,Delivered,25.0,2023-02-16,2.9
ORD00187,Phone,Electronics,West,11,789.75,8687.25,5.0,,Cancelled,65.0,2023-02-16,1.2
ORD00188,Mouse,Accessories,Central,7,885.26,6196.82,20.0,Bank Transfer,Pending,24.0,2023-02-16,1.3
ORD00189,Headphones,Audio,Central,2,963.56,1927.12,5.0,PayPal,Cancelled,66.0,2023-02-17,3.5
ORD00190,Mouse,Accessories,North,5,679.85,3399.25,10.0,Cash,Delivered,,2023-02-17,4.9
ORD00191,Keyboard,Accessories,West,3,413.86,1241.58,15.0,Credit Card,Pending,30.0,2023-02-17,1.4
ORD00192,Monitor,Accessories,North,11,1074.0,11814.0,0.0,PayPal,Delivered,51.0,2023-02-17,4.5
ORD00193,Phone,Electronics,East,8,652.09,5216.72,15.0,Credit Card,Delivered,63.0,2023-02-18,3.0
ORD00194,Speaker,Audio,West,11,467.29,5140.19,10.0,Bank Transfer,Delivered,29.0,2023-02-18,
ORD00195,Keyboard,Accessories,Central,9,1344.84,12103.56,15.0,Bank Transfer,Pending,68.0,2023-02-18,1.5
ORD00196,Charger,Accessories,West,15,53.98,809.7,15.0,PayPal,Delivered,65.0,2023-02-18,4.4
ORD00197,Charger,Accessories,South,6,979.16,5874.96,15.0,PayPal,Pending,47.0,2023-02-19,4.8
ORD00198,Monitor,Accessories,West,13,1344.0,17472.0,5.0,Credit Card,Delivered,22.0,2023-02-19,4.8
ORD00199,Mouse,Accessories,East,15,752.29,11284.35,0.0,PayPal,Pending,64.0,2023-02-19,4.0
ORD00200,Mouse,Accessories,North,3,462.84,1388.52,20.0,PayPal,Delivered,54.0,2023-02-19,4.4
ORD00201,Headphones,Audio,West,17,910.71,15482.07,15.0,Bank Transfer,Delivered,55.0,2023-02-20,4.6
ORD00202,Webcam,Accessories,East,6,400.78,2404.68,10.0,Bank Transfer,Delivered,58.0,2023-02-20,1.0
ORD00203,Speaker,Audio,South,7,960.3,6722.1,20.0,PayPal,Cancelled,31.0,2023-02-20,2.2
ORD00204,Headphones,Audio,Central,12,360.19,4322.28,,PayPal,Cancelled,32.0,2023-02-20,2.3
ORD00205,Phone,Electronics,West,11,839.14,9230.54,0.0,Credit Card,Pending,48.0,2023-02-21,1.2
ORD00206,Charger,Accessories,South,12,15.61,187.32,15.0,PayPal,Delivered,52.0,2023-02-21,2.5
ORD00207,Charger,Accessories,North,12,1385.61,16627.32,5.0,PayPal,Delivered,37.0,2023-02-21,2.2
ORD00208,Keyboard,Accessories,Central,9,1133.33,10199.97,10.0,PayPal,Delivered,57.0,2023-02-21,3.0
ORD00209,Tablet,Electronics,East,16,515.75,8252.0,15.0,Bank Transfer,Pending,43.0,2023-02-22,1.4
ORD00210,Tablet,Electronics,East,16,1239.74,19835.84,20.0,Credit Card,Delivered,52.0,2023-02-22,4.2
ORD00211,Headphones,Audio,South,18,368.18,6627.24,0.0,,Pending,37.0,2023-02-22,3.2
ORD00212,Phone,Electronics,South,1,1469.53,1469.53,15.0,,Pending,51.0,2023-02-22,1.7
ORD00213,Laptop,Electronics,South,7,203.38,1423.66,10.0,PayPal,Pending,26.0,2023-02-23,2.2
ORD00214,Headphones,Audio,Central,7,207.44,1452.08,0.0,Credit Card,Delivered,58.0,2023-02-23,4.4
ORD00215,Laptop,Electronics,South,17,951.5,16175.5,0.0,Bank Transfer,Delivered,43.0,2023-02-23,3.5
ORD00216,Mouse,Accessories,West,12,771.41,9256.92,15.0,Cash,Delivered,45.0,2023-02-23,1.6
ORD00217,Phone,Electronics,North,12,512.87,6154.44,5.0,PayPal,Cancelled,56.0,2023-02-24,1.9
ORD00218,Monitor,Accessories,West,1,596.26,596.26,0.0,Credit Card,Pending,24.0,2023-02-24,3.2
ORD00219,Mouse,Accessories,South,14,1440.36,,20.0,Credit Card,Pending,30.0,2023-02-24,3.4
ORD00220,Speaker,Audio,South,1,88.32,88.32,0.0,Cash,Delivered,18.0,2023-02-24,
ORD00221,Keyboard,Accessories,West,19,800.73,15213.87,20.0,PayPal,Pending,39.0,2023-02-25,3.8
ORD00222,Phone,Electronics,Central,1,364.88,364.88,0.0,Bank Transfer,Delivered,53.0,2023-02-25,3.3
ORD00223,Webcam,Accessories,North,19,831.81,15804.39,10.0,Credit Card,Delivered,47.0,2023-02-25,3.9
ORD00224,Webcam,Accessories,North,2,1137.36,2274.72,,PayPal,Delivered,34.0,2023-02-25,2.9
ORD00225,Phone,Electronics,East,7,1125.08,7875.56,5.0,Bank Transfer,Cancelled,50.0,2023-02-26,2.9
ORD00226,Keyboard,Accessories,South,19,34.34,652.46,20.0,PayPal,Delivered,47.0,2023-02-26,3.4
ORD00227,Charger,Accessories,Central,9,680.39,6123.51,0.0,PayPal,Pending,32.0,2023-02-26,
ORD00228,Charger,Accessories,West,17,425.37,7231.29,10.0,Bank Transfer,Delivered,21.0,2023-02-26,2.8
ORD00229,Headphones,Audio,East,10,359.36,3593.6,0.0,PayPal,Delivered,19.0,2023-02-27,2.5
ORD00230,Speaker,Audio,East,19,203.74,3871.06,10.0,,Pending,45.0,2023-02-27,3.5
ORD00231,Laptop,Electronics,East,17,209.4,3559.8,,Bank Transfer,Pending,25.0,2023-02-27,4.0
ORD00232,Phone,Electronics,South,14,137.57,1925.98,10.0,PayPal,Delivered,53.0,2023-02-27,4.6
ORD00233,Headphones,Audio,North,4,1390.86,5563.44,0.0,Credit Card,Pending,59.0,2023-02-28,1.6
ORD00234,Laptop,Electronics,West,9,954.52,8590.68,10.0,Bank Transfer,Delivered,41.0,2023-02-28,
ORD00235,Monitor,Accessories,Central,16,101.85,1629.6,0.0,Cash,Pending,34.0,2023-02-28,2.9
ORD00236,Headphones,Audio,West,10,1299.12,12991.2,20.0,Credit Card,Pending,21.0,2023-02-28,3.5
ORD00237,Charger,Accessories,East,17,891.29,15151.93,5.0,PayPal,Delivered,62.0,2023-03-01,3.3
ORD00238,Keyboard,Accessories,Central,2,1209.69,2419.38,5.0,PayPal,Delivered,21.0,2023-03-01,
ORD00239,Mouse,Accessories,North,5,40.94,204.7,20.0,Credit Card,Delivered,40.0,2023-03-01,4.8
